"range","area","pt","brte","nsamp","elev","pgraze","tburn","pgrassf","sppr","wtpr","propwtr","tburn2","hillshade","medwtpcp","medsppcp","medpropwtr"
"Shoshone","Underdown","UN0B5",23,31,2231,1,4,0.714285714285714,162,175,0.519287833827893,16,198,175,85,0.728
"Shoshone","Underdown","UN0B6",1,31,2245,1,4,0.761904761904762,162,175,0.519287833827893,16,193,175,85,0.728
"Shoshone","Underdown","UN0B7",3,31,2259,1,4,0.523809523809524,162,175,0.519287833827893,16,203,175,85,0.728
"Toiyabe","Wall","WA03.2",24,31,2201,1,8,0.714285714285714,135,138,0.505494505494505,64,231,119.5,74,0.68984962406015
"Toiyabe","Wall","WA04.2",17,31,2303,1,8,0.523809523809524,183,190,0.509383378016086,64,199,148,102,0.694623655913978
"Toiyabe","Wall","WA05.1",29,31,2356,1,8,0.523809523809524,183,190,0.509383378016086,64,193,160,95.5,0.681942178151542
"Toiyabe","Wall","WA05.2",22,31,2414,1,8,0.428571428571429,183,190,0.509383378016086,64,223,148,102,0.694623655913978
"Toiyabe","Wall","WA06.1",25,31,2405,1,8,0.238095238095238,183,190,0.509383378016086,64,237,160,95.5,0.681942178151542
"Toiyabe","Wall","WA0B1",29,31,2174,1,8,0.0476190476190476,135,138,0.505494505494505,64,214,133,81,0.695488721804511
"Toiyabe","Wall","WA0B2",29,31,2212,1,8,0.0952380952380952,183,190,0.509383378016086,64,172,183,102,0.694623655913978
"Toiyabe","Wall","WA0B3",26,31,2227,1,8,0.0476190476190476,183,190,0.509383378016086,64,228,183,102,0.694623655913978
"Toiyabe","Wall","WA0B4",21,31,2263,1,8,0.0476190476190476,183,190,0.509383378016086,64,236,183,102,0.694623655913978
"Toiyabe","Wall","WA0B5",28,31,2267,1,8,0.428571428571429,183,190,0.509383378016086,64,216,183,102,0.694623655913978
"Toiyabe","Wall","WA0B6",22,31,2321,1,8,0,183,190,0.509383378016086,64,190,183,102,0.694623655913978
"Toiyabe","Wall","WA0B7",28,31,2372,1,8,0.19047619047619,183,190,0.509383378016086,64,197,183,102,0.694623655913978
