"range","area","pt","yr","occ","elev","burn","graze","hillshade","medwtpcp","medsppcp","medpropwtr"
"Monitor","Dobbin East","DE05.2","2015",0,2614,0,1,220,175.5,78,0.704235090751945
"Monitor","Dobbin East","DE05.3","2013",1,2546,0,0,238,175.5,78,0.704235090751945
"Monitor","Dobbin East","DE06.1","2007",1,2486,0,0,233,175.5,78,0.704235090751945
"Monitor","Dobbin East","DE06.2","2015",0,2437,0,1,186,175.5,78,0.704235090751945
"Monitor","Dobbin East","DE06.3","2015",0,2375,0,1,237,175.5,78,0.704235090751945
"Monitor","Dobbin East","DE07.1","2015",0,2334,0,1,194,175.5,78,0.704235090751945
"Monitor","Dobbin East","DE07.2","2015",0,2279,0,1,221,175.5,78,0.704235090751945
"Monitor","Dobbin East","DE07.3","2015",0,2283,0,1,216,175.5,78,0.704235090751945
"Monitor","Dobbin West","DW01.1","2015",0,2258,0,1,216,94,50,0.683809523809524
"Monitor","Dobbin West","DW01.2","2007",1,2311,0,0,199,142,68.5,0.694080717488789
"Monitor","Dobbin West","DW02.1","2015",0,2356,0,1,216,142,68.5,0.694080717488789
"Monitor","Dobbin West","DW02.2","2015",0,2394,0,1,200,142,68.5,0.694080717488789
"Monitor","Dobbin West","DW03.1","2015",0,2416,0,1,235,142,68.5,0.694080717488789
"Monitor","Dobbin West","DW03.2","2015",0,2438,0,1,196,142,68.5,0.694080717488789
"Monitor","Dobbin West","DW03.3","2015",0,2480,0,1,226,210,88.5,0.714548494983278
"Monitor","Dobbin West","DW04.1","2015",0,2568,0,1,224,210,88.5,0.714548494983278
"Monitor","Dobbin West","DW04.2","2015",0,2611,0,1,221,210,88.5,0.714548494983278
"Monitor","Elkhorn","EH01","2012",1,2275,1,1,202,149,65,0.714912280701754
"Monitor","Elkhorn","EH02","2012",1,2318,1,1,215,149,65,0.714912280701754
"Monitor","Elkhorn","EH03","2011",1,2334,1,1,180,149,65,0.714912280701754
"Monitor","Elkhorn","EH04","2011",1,2351,1,1,240,149,65,0.714912280701754
"Monitor","Elkhorn","EHSG01","2013",1,2307,1,1,207,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG02","2013",1,2302,1,1,202,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG03","2011",1,2307,1,1,197,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG04","2013",1,2297,1,1,199,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG05","2013",1,2319,1,1,205,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG06","2011",1,2304,1,1,202,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG07","2013",1,2320,1,1,213,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG08","2011",1,2305,1,1,215,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG09","2013",1,2325,1,1,231,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG10","2013",1,2314,1,1,242,163,65,0.714912280701754
"Toiyabe","Grass Springs","GS01","2008",1,2179,1,1,183,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS02","2009",1,2134,1,1,184,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS03","2009",1,2085,1,1,229,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS04","2008",1,2079,1,1,220,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS05","2006",1,2087,1,1,209,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS06","2006",1,2108,1,1,205,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS07","2006",1,2145,1,1,190,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS08","2006",1,2129,1,1,160,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS09","2006",1,2078,1,1,207,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS10","2006",1,2062,1,1,206,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GSSG01","2011",1,2089,1,1,207,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG02","2011",1,2091,1,1,202,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG03","2011",1,2090,1,1,199,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG04","2011",1,2095,1,1,204,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG05","2011",1,2097,1,1,201,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG06","2011",1,2099,1,1,203,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG07","2011",1,2099,1,1,201,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG08","2011",1,2104,1,1,200,182,73,0.713725490196078
