"range","area","pt","brte","nsamp","elev","pgraze","pgrassf","sppr","propwtr","hillshade","medwtpcp","medpropwtr"
"Toiyabe","San Juan","SJ05.1",2,21,2504,1,0.476190476190476,55,0.717948717948718,216,141,0.717560217560218
"Toiyabe","San Juan","SJ05.2",6,21,2553,1,0.476190476190476,55,0.717948717948718,190,140,0.717171717171717
"Monitor","Allison","AL15",0,31,2325,1,0.666666666666667,40,0.753086419753086,230,133,0.733333333333333
"Monitor","Allison","AL20",2,31,2227,1,0.428571428571429,34,0.751824817518248,206,112,0.73469387755102
"Toquima","Antone","AN01.1",2,31,2403,1,0.761904761904762,63,0.734177215189873,216,176.5,0.717783052039381
"Toquima","Antone","AN01.2",8,31,2425,1,0.714285714285714,63,0.734177215189873,204,176.5,0.717783052039381
"Toquima","Antone","AN02.1",0,31,2486,1,0.19047619047619,63,0.734177215189873,202,176.5,0.717783052039381
"Toquima","Antone","AN02.2",16,31,2518,1,0.523809523809524,63,0.734177215189873,208,176.5,0.717783052039381
"Toquima","Antone","AN03.1",8,31,2604,1,0.571428571428571,63,0.734177215189873,193,176.5,0.717783052039381
"Toquima","Antone","AN04.1",3,31,2735,1,0.333333333333333,79,0.732203389830508,158,224,0.710788343416617
"Shoshone","Barrett","BA01.1",3,31,2156,1,0.19047619047619,41,0.719178082191781,210,112,0.724770642201835
"Shoshone","Barrett","BA01.2",8,31,2180,1,0.428571428571429,41,0.719178082191781,219,112,0.724770642201835
"Shoshone","Barrett","BA02.1",10,31,2263,1,0.523809523809524,41,0.719178082191781,219,112,0.724770642201835
"Shoshone","Barrett","BA02.2",0,31,2282,1,0.80952380952381,41,0.719178082191781,199,112,0.724770642201835
"Shoshone","Barrett","BA03.1",6,31,2364,1,0.476190476190476,58,0.730232558139535,209,157,0.730232558139535
"Shoshone","Barrett","BA03.2",21,31,2395,1,0.761904761904762,58,0.730232558139535,205,157,0.730232558139535
"Shoshone","Barrett","BA04.1",3,31,2455,1,0.285714285714286,58,0.730232558139535,233,157,0.730232558139535
"Shoshone","Barrett","BA04.2",2,31,2468,1,0.523809523809524,58,0.730232558139535,179,157,0.730232558139535
"Shoshone","Barrett","BA05.1",17,31,2518,1,0.380952380952381,58,0.730232558139535,196,157,0.730232558139535
"Shoshone","Barrett","BA05.2",25,31,2554,1,0.523809523809524,58,0.730232558139535,196,157,0.730232558139535
"Shoshone","Barrett","BA06.1",15,31,2640,1,0.19047619047619,54,0.724489795918367,155,142,0.726591760299625
"Shoshone","Barrett","BA06.2",20,31,2679,1,0.19047619047619,54,0.724489795918367,153,142,0.726591760299625
"Shoshone","Becker","BE01.1",14,31,2166,1,0,28,0.695652173913043,163,76,0.695652173913043
"Shoshone","Becker","BE01.2",2,31,2188,1,0.619047619047619,28,0.695652173913043,197,76,0.695652173913043
"Shoshone","Becker","BE02.1",6,31,2241,1,0.523809523809524,55,0.72636815920398,187,146,0.738219895287958
"Shoshone","Becker","BE02.2",3,31,2248,1,0.476190476190476,55,0.72636815920398,228,146,0.738219895287958
"Toiyabe","Birch","BI01.1",7,30,1966,0.875,0.15,38,0.720588235294118,197,105,0.720588235294118
"Toiyabe","Birch","BI01.2",13,31,1991,0.875,0.333333333333333,38,0.720588235294118,229,105,0.720588235294118
"Toiyabe","Birch","BI02.1",8,31,2058,0.875,0.238095238095238,89,0.726153846153846,216,236,0.726153846153846
"Toiyabe","Birch","BI02.2",9,25,2105,0.875,0.4,89,0.726153846153846,111,236,0.726153846153846
"Toiyabe","Birch","BI03.1",4,30,2122,0.875,0.15,89,0.726153846153846,252,236,0.726153846153846
"Toiyabe","Birch","BI03.2",10,31,2153,0.875,0.0952380952380952,80,0.727891156462585,227,214,0.727891156462585
"Toiyabe","Birch","BI03.3",2,31,2158,0.875,0.904761904761905,80,0.727891156462585,221,202.5,0.729845961373055
"Toiyabe","Birch","BI04.1",2,31,2211,0.875,0.238095238095238,80,0.727891156462585,234,214,0.727891156462585
