"range","area","pt","yr","brte","nsamp","mtype","elev","burn","graze","pgraze","igrassf","tburn","pgrassf","sppr","wtpr"
"Toquima","Meadow","MD03.2",2006,0,10,1,2495,0,1,1,NA,NA,NA,108,323
"Toquima","Meadow","MD04.1",2006,0,10,1,2577,0,1,1,NA,NA,NA,103,299
"Toquima","Meadow","MD04.2",2006,0,10,1,2619,0,1,1,NA,NA,NA,108,323
"Toquima","Meadow","MD05.1",2006,0,10,1,2660,0,1,1,NA,NA,NA,108,323
"Toquima","Meadow","MD05.2",2006,0,10,1,2674,0,1,1,NA,NA,NA,104,304
"Toiyabe","Ophir","OP01.1",2006,6,10,1,1969,0,0,0,NA,NA,NA,70,166
"Toiyabe","Ophir","OP01.2",2006,0,10,1,2033,0,0,0,NA,NA,NA,70,166
"Toiyabe","Ophir","OP02.1",2006,2,10,1,2093,0,0,0,NA,NA,NA,70,166
"Toiyabe","Ophir","OP02.2",2006,1,10,1,2167,0,0,0,NA,NA,NA,70,166
"Toiyabe","Ophir","OP03.1",2006,0,10,1,2248,0,0,0,NA,NA,NA,70,166
"Toiyabe","Ophir","OP03.2",2006,6,10,1,2278,0,0,0,NA,NA,NA,70,166
"Toiyabe","Ophir","OP04.1",2006,0,10,1,2368,0,0,0,NA,NA,NA,115,356
"Toiyabe","Ophir","OP05.1",2006,2,10,1,2415,0,0,0,NA,NA,NA,115,356
"Toiyabe","Ophir","OP05.2",2006,0,10,1,2477,0,0,0,NA,NA,NA,115,356
"Toiyabe","Ophir","OP06.2",2006,3,5,1,2626,0,0,0,NA,NA,NA,115,356
"Toiyabe","Ophir","OP07.1",2006,0,10,1,2688,0,0,0,NA,NA,NA,115,356
"Toiyabe","Ophir","OP08.1",2006,0,10,1,2822,0,0,0,NA,NA,NA,115,356
"Toiyabe","Ophir","OP09.1",2006,0,10,1,2888,0,0,0,NA,NA,NA,115,356
"Toiyabe","Ophir","OP09.2",2006,0,10,1,2981,0,0,0,NA,NA,NA,118,365
"Shoshone","Riley","RI01.1",2006,6,25,1,2065,0,1,1,NA,NA,0.4,71,178
"Shoshone","Riley","RI01.2",2006,5,31,1,2115,0,1,1,NA,NA,0.476190476190476,71,178
"Shoshone","Riley","RI02.1",2006,3,31,1,2147,0,1,1,NA,NA,0.80952380952381,71,178
"Shoshone","Riley","RI02.2",2006,2,31,1,2182,0,1,1,NA,NA,0.666666666666667,71,178
"Shoshone","Riley","RI03.1",2006,1,31,1,2259,0,1,1,NA,NA,0.952380952380952,71,178
"Shoshone","Riley","RI03.2",2006,0,31,1,2305,0,1,1,NA,NA,0.523809523809524,71,178
"Shoshone","Riley","RI04.1",2006,0,31,1,2368,0,1,1,NA,NA,0.857142857142857,85,238
"Shoshone","Riley","RI04.2",2006,0,31,1,2412,0,1,1,NA,NA,0.904761904761905,85,238
"Shoshone","Riley","RI05.1",2006,7,31,1,2483,0,1,1,NA,NA,0.714285714285714,108,349
"Shoshone","Riley","RI05.2",2006,0,31,1,2545,0,1,1,NA,NA,0.761904761904762,85,238
"Monitor","Ryegrass","RY01",2006,0,31,1,2144,0,1,1,NA,NA,0.238095238095238,64,151
"Monitor","Ryegrass","RY02",2006,0,31,1,2186,0,1,1,NA,NA,0.666666666666667,64,151
"Monitor","Ryegrass","RY03",2006,0,31,1,2235,0,1,1,NA,NA,0.523809523809524,79,208
"Monitor","Ryegrass","RY04",2006,0,31,1,2283,0,1,1,NA,NA,0.476190476190476,70,175
"Monitor","Ryegrass","RY05",2006,1,31,1,2337,0,1,1,NA,NA,0.619047619047619,79,208
"Monitor","Ryegrass","RY06",2006,0,31,1,2399,0,1,1,NA,NA,0.80952380952381,70,175
"Monitor","Ryegrass","RY07",2006,0,31,1,2412,0,1,1,NA,NA,0.952380952380952,71,179
"Toiyabe","San Juan","SJ01.1",2006,5,10,1,2104,0,1,1,NA,NA,NA,67,150
"Toiyabe","San Juan","SJ01.2",2006,1,10,1,2117,0,1,1,NA,NA,NA,77,196
"Toiyabe","San Juan","SJ01.3",2006,3,10,1,2160,0,1,1,NA,NA,NA,77,196
"Toiyabe","San Juan","SJ02.1",2006,3,10,1,2220,0,1,1,NA,NA,NA,77,196
"Toiyabe","San Juan","SJ02.2",2006,3,10,1,2230,0,1,1,NA,NA,NA,77,196
"Toiyabe","San Juan","SJ02.3",2006,3,10,1,2289,0,1,1,NA,NA,NA,102,291
"Toiyabe","San Juan","SJ03.1",2006,0,10,1,2338,0,1,1,NA,NA,NA,102,291
"Toiyabe","San Juan","SJ03.2",2006,2,10,1,2384,0,1,1,NA,NA,NA,102,291
"Toiyabe","San Juan","SJ04.1",2006,1,10,1,2401,0,1,1,NA,NA,NA,102,291
"Toiyabe","San Juan","SJ04.2",2006,6,10,1,2446,0,1,1,NA,NA,NA,102,291
"Toiyabe","San Juan","SJ05.1",2006,0,10,1,2504,0,1,1,NA,NA,NA,102,291
"Toiyabe","Summit","SU01.1",2006,8,10,1,1989,0,0,0,NA,NA,NA,70,166
"Toiyabe","Summit","SU01.2",2006,0,10,1,2072,0,0,0,NA,NA,NA,70,166
"Toiyabe","Summit","SU02.1",2006,0,10,1,2125,0,0,0,NA,NA,NA,70,166
"Toiyabe","Summit","SU02.2",2006,3,10,1,2146,0,0,0,NA,NA,NA,70,166
