"range","area","pt","hillshade","medwtpcp","medsppcp","medpropwtr"
"Shoshone","Underdown","UN05.2",196,198,100,0.733132379073139
"Shoshone","Underdown","UN06.1",192,198,100,0.733132379073139
"Shoshone","Underdown","UN06.2",188,198,100,0.733132379073139
"Shoshone","Underdown","UN07.1",190,198,100,0.733132379073139
"Shoshone","Underdown","UN07.2",219,198,100,0.733132379073139
"Shoshone","Underdown","UN0B1",183,104,60,0.68780487804878
"Shoshone","Underdown","UN0B2",191,175,85,0.728
"Shoshone","Underdown","UN0B3",188,175,85,0.728
"Shoshone","Underdown","UN0B4",206,175,85,0.728
"Shoshone","Underdown","UN0B5",198,175,85,0.728
"Shoshone","Underdown","UN0B6",193,175,85,0.728
"Shoshone","Underdown","UN0B7",203,175,85,0.728
"Toiyabe","Wall","WA01.1",174,66.5,30,0.714699792960662
"Toiyabe","Wall","WA01.2",204,103,59.5,0.692444444444444
"Toiyabe","Wall","WA02.1",207,103,59.5,0.692444444444444
"Toiyabe","Wall","WA02.2",228,108.5,63.5,0.68984962406015
"Toiyabe","Wall","WA03.1",202,109,67,0.695488721804511
"Toiyabe","Wall","WA03.2",231,119.5,74,0.68984962406015
"Toiyabe","Wall","WA04.1",222,148,89,0.669260700389105
"Toiyabe","Wall","WA04.2",199,148,102,0.694623655913978
"Toiyabe","Wall","WA05.1",193,160,95.5,0.681942178151542
"Toiyabe","Wall","WA05.2",223,148,102,0.694623655913978
"Toiyabe","Wall","WA06.1",237,160,95.5,0.681942178151542
"Toiyabe","Wall","WA0B1",214,133,81,0.695488721804511
"Toiyabe","Wall","WA0B2",172,183,102,0.694623655913978
"Toiyabe","Wall","WA0B3",228,183,102,0.694623655913978
"Toiyabe","Wall","WA0B4",236,183,102,0.694623655913978
"Toiyabe","Wall","WA0B5",216,183,102,0.694623655913978
"Toiyabe","Wall","WA0B6",190,183,102,0.694623655913978
"Toiyabe","Wall","WA0B7",197,183,102,0.694623655913978
"Toiyabe","Wall","WASG01",202,130,60,0.706395348837209
"Toiyabe","Wall","WASG02",221,130,60,0.706395348837209
"Toiyabe","Wall","WASG03",203,130,60,0.706395348837209
"Toiyabe","Wall","WASG04",159,130,60,0.706395348837209
"Toiyabe","Wall","WASG05",202,130,60,0.706395348837209
"Toiyabe","Wall","WASG06",212,130,60,0.706395348837209
"Toiyabe","Wall","WASG07",171,130,60,0.706395348837209
"Toiyabe","Wall","WASG08",169,130,60,0.706395348837209
"Toiyabe","Wall","WASG09",211,172,85,0.694623655913978
"Toiyabe","Wall","WASG10",192,172,85,0.694623655913978
"Toiyabe","Wall","WASG11",212,172,85,0.694623655913978
"Toiyabe","Wall","WASG12",175,172,85,0.694623655913978
"Monitor","White Sage","WH08",234,115,55,0.730392156862745
"Monitor","White Sage","WH09",234,115,55,0.730392156862745
"Monitor","White Sage","WH10",210,100,49,0.73224043715847
"Monitor","White Sage","WH11",207,100,49,0.73224043715847
"Monitor","White Sage","WH12",209,117,40,0.739071038251366
"Monitor","White Sage","WH13",211,107.5,37,0.737779199317661
"Monitor","Wallace","WL01",212,94,48,0.728813559322034
"Monitor","Wallace","WL02",235,94,48,0.728813559322034
"Monitor","Wallace","WL03",224,94,48,0.728813559322034
"Monitor","Wallace","WL04",220,128,58,0.737556561085973
"Monitor","Wallace","WL05",174,128,58,0.737556561085973
"Monitor","Wallace","WL06",226,128,58,0.737556561085973
"Monitor","Wallace","WL07",226,128,58,0.737556561085973
"Monitor","Wallace","WL08",190,145.5,48.5,0.743778280542986
"Monitor","Wallace","WL09",218,146,64,0.735537190082645
"Monitor","Wallace","WL10",215,114,54,0.732673267326733
"Monitor","Wallace","WL11",200,117,55,0.733009708737864
"Monitor","Wallace","WL12",208,117,55,0.733009708737864
"Monitor","Wallace","WL13",234,117,55,0.733009708737864
"Toiyabe","Washington","WS01.1",219,64,47,0.686798590403904
"Toiyabe","Washington","WS01.2",223,114,70.5,0.708024691358025
"Toiyabe","Washington","WS01.3",240,114,70.5,0.708024691358025
"Toiyabe","Washington","WS02.1",237,114,70.5,0.708024691358025
"Toiyabe","Washington","WS02.2",242,114,70.5,0.708024691358025
"Toiyabe","Washington","WS02.3",232,114,70.5,0.708024691358025
"Toiyabe","Washington","WS03.1",206,114,70.5,0.708024691358025
"Toiyabe","Washington","WS03.2",228,114,70.5,0.708024691358025
"Toiyabe","Washington","WS03.3",225,218,133,0.729096989966555
"Toiyabe","Washington","WS04.1",208,218,133,0.729096989966555
"Toiyabe","Washington","WS04.2",231,218,133,0.729096989966555
"Toiyabe","Washington","WS04.3",238,218,133,0.729096989966555
"Toiyabe","Washington","WS05.1",223,218,133,0.729096989966555
"Toiyabe","Washington","WS05.2",222,218,133,0.729096989966555
"Toiyabe","Washington","WS05.3",219,218,133,0.729096989966555
