state,range,canyon or area,point,num_samples_BRTE,BRTEcount,mtype,year,elevation,burned,firstGS,num_samples_grass&forb,igrass,grasscvr,iforb,forbcvr,grazed,wtprecip,spprecip,UTMx (NAD83 zone 11),UTMy (NAD83 zone 11),grazed,prop_grazed
Nevada,Toquima,Antone,AN01.3,10,0,point,2006,2450,0,NA,,,,,,,299,103,507392,4279847,1,1
Nevada,Toquima,Antone,AN02.1,10,1,point,2006,2486,0,NA,,,,,,,299,103,506905,4279511,1,1
Nevada,Toquima,Antone,AN02.2,10,9,point,2006,2518,0,NA,,,,,,,299,103,506461,4279457,1,1
Nevada,Toquima,Antone,AN03.1,10,4,point,2006,2604,0,NA,,,,,,,299,103,505591,4279341,1,1
Nevada,Toquima,Antone,AN03.2,10,0,point,2006,2658,0,NA,,,,,,,377,130,505178,4279056,1,1
Nevada,Toquima,Antone,AN04.1,10,0,point,2006,2735,0,NA,,,,,,,377,130,504693,4278945,1,1
Nevada,Shoshone,Barrett,BA01.1,10,5,point,2006,2156,0,NA,,,,,,,204,77,457842,4326960,1,1
Nevada,Shoshone,Barrett,BA01.2,10,1,point,2006,2180,0,NA,,,,,,,204,77,457435,4327193,1,1
Nevada,Shoshone,Barrett,BA02.1,10,0,point,2006,2263,0,NA,,,,,,,204,77,456127,4327497,1,1
Nevada,Shoshone,Barrett,BA02.2,10,1,point,2006,2282,0,NA,,,,,,,204,77,455870,4327620,1,1
Nevada,Shoshone,Barrett,BA03.1,10,1,point,2006,2364,0,NA,,,,,,,287,95,454833,4327629,1,1
Nevada,Shoshone,Barrett,BA03.2,10,2,point,2006,2395,0,NA,,,,,,,287,95,454493,4327634,1,1
Nevada,Shoshone,Barrett,BA04.1,10,1,point,2006,2455,0,NA,,,,,,,287,95,453911,4327755,1,1
Nevada,Shoshone,Barrett,BA04.2,10,0,point,2006,2468,0,NA,,,,,,,287,95,453813,4327895,1,1
Nevada,Shoshone,Barrett,BA05.1,10,3,point,2006,2518,0,NA,,,,,,,287,95,453507,4328236,1,1
Nevada,Shoshone,Barrett,BA05.2,10,1,point,2006,2554,0,NA,,,,,,,287,95,453312,4328349,1,1
Nevada,Shoshone,Barrett,BA06.1,10,1,point,2006,2640,0,NA,,,,,,,260,88,453038,4328612,1,1
Nevada,Shoshone,Barrett,BA06.2,10,4,point,2006,2679,0,NA,,,,,,,260,88,452941,4328666,1,1
Nevada,Shoshone,Becker,BE01.1,10,4,point,2006,2166,0,NA,,,,,,,141,63,459535,4327971,1,1
Nevada,Shoshone,Becker,BE01.2,10,1,point,2006,2188,0,NA,,,,,,,141,63,459363,4328408,1,1
Nevada,Shoshone,Becker,BE02.1,10,2,point,2006,2241,0,NA,,,,,,,273,90,459244,4329392,1,1
Nevada,Shoshone,Becker,BE02.2,10,1,point,2006,2248,0,NA,,,,,,,273,90,459307,4329527,1,1
Nevada,Shoshone,Becker,BE03.1,10,0,point,2006,2359,0,NA,,,,,,,273,90,459789,4330635,1,1
Nevada,Shoshone,Becker,BE03.2,10,0,point,2006,2373,0,NA,,,,,,,273,90,459844,4330725,1,1
Nevada,Toiyabe,Birch,BI01.1,10,4,point,2006,1966,0,NA,,,,,,,183,74,498887,4358987,1,1
Nevada,Toiyabe,Birch,BI01.2,10,6,point,2006,1991,0,NA,,,,,,,183,74,498570,4359048,1,1
Nevada,Toiyabe,Birch,BI02.1,10,1,point,2006,2058,0,NA,,,,,,,346,118,497584,4359812,1,1
Nevada,Toiyabe,Birch,BI02.2,10,5,point,2006,2105,0,NA,,,,,,,346,118,497212,4360036,1,1
Nevada,Toiyabe,Birch,BI03.1,10,4,point,2006,2122,0,NA,,,,,,,346,118,497171,4360414,1,1
Nevada,Toiyabe,Birch,BI03.2,10,8,point,2006,2153,0,NA,,,,,,,323,113,496976,4360740,1,1
Nevada,Toiyabe,Birch,BI03.3,10,2,point,2006,2158,0,NA,,,,,,,323,113,496572,4361012,1,1
Nevada,Toiyabe,Birch,BI04.1,10,2,point,2006,2211,0,NA,,,,,,,323,113,496016,4362190,1,1
Nevada,Toiyabe,Birch,BI04.2,10,2,point,2006,2231,0,NA,,,,,,,323,113,495899,4362638,1,1
Nevada,Toiyabe,Birch,BI04.3,10,1,point,2006,2324,0,NA,,,,,,,323,113,496025,4363900,1,1
Nevada,Toiyabe,Birch,BI05.1,10,5,point,2006,2376,0,NA,,,,,,,323,113,496070,4364329,1,1
Nevada,Toiyabe,Birch,BI05.2,10,5,point,2006,2410,0,NA,,,,,,,323,113,495912,4364636,1,1
Nevada,Toiyabe,Birch,BI06.1,10,3,point,2006,2484,0,NA,,,,,,,323,113,495419,4364918,1,1
Nevada,Toiyabe,Birch,BI06.2,10,0,point,2006,2524,0,NA,,,,,,,323,113,495236,4365279,1,1
Nevada,Toiyabe,Birch,BI07.1,10,0,point,2006,2555,0,NA,,,,,,,289,106,495466,4365710,1,1
Nevada,Toiyabe,Birch,BI07.2,10,0,point,2006,2586,0,NA,,,,,,,289,106,495570,4366063,1,1
Nevada,Toiyabe,Grass Springs,GS01,31,0,point,2006,2179,1,2006,21,12,,9,,,217,85,498568,4370386,1,1
Nevada,Toiyabe,Grass Springs,GS02,31,0,point,2006,2134,1,2006,21,12,,6,,,217,85,498766,4370378,1,1
Nevada,Toiyabe,Grass Springs,GS03,31,0,point,2006,2085,1,2006,21,2,,6,,,217,85,499376,4370360,1,1
Nevada,Toiyabe,Grass Springs,GS04,31,0,point,2006,2079,1,2006,21,0,,0,,,217,85,499391,4370537,1,1
Nevada,Toiyabe,Grass Springs,GS05,31,2,point,2006,2087,1,2006,21,16,,19,,,217,85,499165,4370619,1,1
Nevada,Toiyabe,Grass Springs,GS06,31,6,point,2006,2108,1,2006,21,12,,19,,,217,85,498953,4370678,1,1
Nevada,Toiyabe,Grass Springs,GS07,31,11,point,2006,2145,1,2006,21,11,,0,,,217,85,498729,4370665,1,1
Nevada,Toiyabe,Grass Springs,GS08,31,6,point,2006,2129,1,2006,21,16,,13,,,217,85,498840,4370884,1,1
Nevada,Toiyabe,Grass Springs,GS09,31,7,point,2006,2078,1,2006,21,6,,6,,,217,85,499234,4371042,1,1
Nevada,Toiyabe,Grass Springs,GS10,31,1,point,2006,2062,1,2006,21,6,,19,,,217,85,499449,4370812,1,1
Nevada,Toiyabe,Jett,JE01.1,10,4,point,2006,1972,0,NA,,,,,,,122,58,481292,4286426,0,0
Nevada,Toiyabe,Jett,JE01.2,10,5,point,2006,1978,0,NA,,,,,,,122,58,480943,4286510,0,0
Nevada,Toiyabe,Jett,JE01.3,2,1,point,2006,2016,0,NA,,,,,,,122,58,480602,4286575,0,0
Nevada,Toiyabe,Jett,JE02.1,8,0,point,2006,2051,0,NA,,,,,,,283,111,480042,4286915,0,0
Nevada,Toiyabe,Jett,JE02.2,10,0,point,2006,2085,0,NA,,,,,,,283,111,479554,4287084,0,0
Nevada,Toiyabe,Jett,JE02.3,10,1,point,2006,2115,0,NA,,,,,,,283,111,479032,4287356,0,0
Nevada,Toiyabe,Jett,JE03.1,10,1,point,2006,2143,0,NA,,,,,,,283,111,478738,4287599,0,0
