range,area,pt,x,y,Southwestness
Shoshone,Underdown,UN01.1,466955.00000000000,4334270.00000000000,-0.64676910639
Shoshone,Underdown,UN01.2,466507.00000000000,4334325.00000000000,0.71086645126
Shoshone,Underdown,UN02.1,465834.00000000000,4334717.00000000000,0.50438517332
Shoshone,Underdown,UN02.2,465345.00000000000,4334870.00000000000,-0.94729250670
Shoshone,Underdown,UN03.1,464392.00000000000,4335151.00000000000,-0.94729250670
Shoshone,Underdown,UN03.2,463859.00000000000,4335420.00000000000,-0.99608784914
Shoshone,Underdown,UN04.1,463046.00000000000,4335553.00000000000,-0.99608784914
Shoshone,Underdown,UN04.2,462172.00000000000,4336062.00000000000,-0.04998439550
Shoshone,Underdown,UN05.1,461858.00000000000,4335606.00000000000,0.99870228767
Shoshone,Underdown,UN05.2,461771.00000000000,4334944.00000000000,-0.72940409184
Shoshone,Underdown,UN06.1,461400.00000000000,4334852.00000000000,0.99206942320
Shoshone,Underdown,UN06.2,461304.00000000000,4334523.00000000000,0.64029169083
Shoshone,Underdown,UN07.1,461094.00000000000,4334514.00000000000,-0.11831521988
Shoshone,Underdown,UN07.2,461002.00000000000,4334601.00000000000,0.79406082630
Shoshone,Underdown,UN0B1,466208.00000000000,4334493.00000000000,-0.03703712299
Shoshone,Underdown,UN0B2,465679.00000000000,4334701.00000000000,-0.88835209608
Shoshone,Underdown,UN0B3,465579.00000000000,4334726.00000000000,-0.53614783287
Shoshone,Underdown,UN0B4,465472.00000000000,4334801.00000000000,-0.44807362557
Shoshone,Underdown,UN0B5,464142.00000000000,4335228.00000000000,0.39322525263
Shoshone,Underdown,UN0B6,463923.00000000000,4335318.00000000000,-0.87048250437
Shoshone,Underdown,UN0B7,463704.00000000000,4335430.00000000000,-0.04996915534
Toiyabe,Wall,WA01.1,480640.00000000000,4281421.00000000000,0.85702908039
Toiyabe,Wall,WA01.2,479744.00000000000,4281663.00000000000,0.71086645126
Toiyabe,Wall,WA02.1,478861.00000000000,4281929.00000000000,0.98111134768
Toiyabe,Wall,WA02.2,478012.00000000000,4282228.00000000000,0.52532196045
Toiyabe,Wall,WA03.1,477057.00000000000,4282690.00000000000,-0.99608784914
Toiyabe,Wall,WA03.2,476504.00000000000,4283065.00000000000,0.05122994259
Toiyabe,Wall,WA04.1,475818.00000000000,4283922.00000000000,0.52532196045
Toiyabe,Wall,WA04.2,475454.00000000000,4284265.00000000000,0.57295179367
Toiyabe,Wall,WA05.1,474874.00000000000,4284514.00000000000,0.36833789945
Toiyabe,Wall,WA05.2,474577.00000000000,4284907.00000000000,1.00000000000
Toiyabe,Wall,WA06.1,474931.00000000000,4284883.00000000000,-0.20116756856
Toiyabe,Wall,WA0B1,476751.00000000000,4282806.00000000000,-0.44807362557
Toiyabe,Wall,WA0B2,476381.00000000000,4283210.00000000000,-0.16914691031
Toiyabe,Wall,WA0B3,476328.00000000000,4283496.00000000000,-0.97969949246
Toiyabe,Wall,WA0B4,475964.00000000000,4283880.00000000000,-0.78227984905
Toiyabe,Wall,WA0B5,475713.00000000000,4283998.00000000000,0.84430110455
Toiyabe,Wall,WA0B6,475182.00000000000,4284300.00000000000,0.83426666260
Toiyabe,Wall,WA0B7,474706.00000000000,4284574.00000000000,-0.01243526302
Toiyabe,Wall,WASG01,476468.00000000000,4282887.00000000000,0.35658171773
Toiyabe,Wall,WASG02,476418.00000000000,4282970.00000000000,-0.99929517508
Toiyabe,Wall,WASG03,476446.00000000000,4282875.00000000000,-0.54007196426
Toiyabe,Wall,WASG04,476388.00000000000,4282949.00000000000,0.30391874909
Toiyabe,Wall,WASG05,476385.00000000000,4282641.00000000000,-0.59846007824
Toiyabe,Wall,WASG06,476441.00000000000,4282701.00000000000,0.63612973690
Toiyabe,Wall,WASG07,476388.00000000000,4282739.00000000000,0.83086752892
Toiyabe,Wall,WASG08,476355.00000000000,4282651.00000000000,-0.01243526302
Toiyabe,Wall,WASG09,475918.00000000000,4283782.00000000000,0.52532196045
Toiyabe,Wall,WASG10,475822.00000000000,4283733.00000000000,-0.99608784914
Toiyabe,Wall,WASG11,475820.00000000000,4283864.00000000000,-0.44807362557
Toiyabe,Wall,WASG12,475741.00000000000,4283805.00000000000,-0.38347351551
Monitor,White Sage,WH08,543778.00000000000,4339804.00000000000,0.91527587175
Monitor,White Sage,WH09,541940.00000000000,4339565.00000000000,-0.49302271009
Monitor,White Sage,WH10,540988.00000000000,4337578.00000000000,-0.44807362557
Monitor,White Sage,WH11,540694.00000000000,4336326.00000000000,-0.94729250670
Monitor,White Sage,WH12,540593.00000000000,4335579.00000000000,-0.93459069729
Monitor,White Sage,WH13,539964.00000000000,4332918.00000000000,-0.44807362557
Monitor,Wallace,WL01,536931.00000000000,4350156.00000000000,0.22523462772
Monitor,Wallace,WL02,537285.00000000000,4350420.00000000000,-0.13527725637
Monitor,Wallace,WL03,537523.00000000000,4350763.00000000000,0.52532196045
Monitor,Wallace,WL04,538368.00000000000,4351727.00000000000,-0.01948878914
Monitor,Wallace,WL05,539890.00000000000,4352610.00000000000,-0.17512962222
Monitor,Wallace,WL06,540147.00000000000,4352583.00000000000,0.88816386461
Monitor,Wallace,WL07,540416.00000000000,4352465.00000000000,0.71086645126
Monitor,Wallace,WL08,540747.00000000000,4352367.00000000000,0.99439644814
Monitor,Wallace,WL09,541348.00000000000,4352187.00000000000,-0.54007196426
Monitor,Wallace,WL10,541107.00000000000,4351457.00000000000,0.52532196045
Monitor,Wallace,WL11,541577.00000000000,4349986.00000000000,-0.59846007824
Monitor,Wallace,WL12,542209.00000000000,4348896.00000000000,-0.22396227717
Monitor,Wallace,WL13,543406.00000000000,4347960.00000000000,0.10075605661
Toiyabe,Washington,WS01.1,476444.00000000000,4334452.00000000000,-0.04996915534
Toiyabe,Washington,WS01.2,477267.00000000000,4334221.00000000000,0.52532196045
Toiyabe,Washington,WS01.3,477752.00000000000,4334148.00000000000,1.00000000000
Toiyabe,Washington,WS02.1,478393.00000000000,4333845.00000000000,-0.84466004372
Toiyabe,Washington,WS02.2,478611.00000000000,4333781.00000000000,-0.35540914536
Toiyabe,Washington,WS02.3,478989.00000000000,4333756.00000000000,0.57578945160
Toiyabe,Washington,WS03.1,479632.00000000000,4333962.00000000000,1.00000000000
Toiyabe,Washington,WS03.2,479948.00000000000,4334019.00000000000,0.84049576521
Toiyabe,Washington,WS03.3,480513.00000000000,4334115.00000000000,0.06738327444
Toiyabe,Washington,WS04.1,481133.00000000000,4333911.00000000000,0.84430932999
Toiyabe,Washington,WS04.2,481610.00000000000,4333749.00000000000,-0.54761427641
Toiyabe,Washington,WS04.3,481887.00000000000,4333717.00000000000,-0.92975258827
Toiyabe,Washington,WS05.1,482186.00000000000,4333581.00000000000,0.91527587175
Toiyabe,Washington,WS05.2,482533.00000000000,4333633.00000000000,-0.39140900970
Toiyabe,Washington,WS05.3,482662.00000000000,4333665.00000000000,1.00000000000
