range,area,pt,x,y,Hillshade index
Monitor,White Sage,WH08,543778.00000000000,4339804.00000000000,234
Monitor,White Sage,WH09,541940.00000000000,4339565.00000000000,234
Monitor,White Sage,WH10,540988.00000000000,4337578.00000000000,210
Monitor,White Sage,WH11,540694.00000000000,4336326.00000000000,207
Monitor,White Sage,WH12,540593.00000000000,4335579.00000000000,209
Monitor,White Sage,WH13,539964.00000000000,4332918.00000000000,211
Monitor,Wallace,WL01,536931.00000000000,4350156.00000000000,212
Monitor,Wallace,WL02,537285.00000000000,4350420.00000000000,235
Monitor,Wallace,WL03,537523.00000000000,4350763.00000000000,224
Monitor,Wallace,WL04,538368.00000000000,4351727.00000000000,220
Monitor,Wallace,WL05,539890.00000000000,4352610.00000000000,174
Monitor,Wallace,WL06,540147.00000000000,4352583.00000000000,226
Monitor,Wallace,WL07,540416.00000000000,4352465.00000000000,226
Monitor,Wallace,WL08,540747.00000000000,4352367.00000000000,190
Monitor,Wallace,WL09,541348.00000000000,4352187.00000000000,218
Monitor,Wallace,WL10,541107.00000000000,4351457.00000000000,215
Monitor,Wallace,WL11,541577.00000000000,4349986.00000000000,200
Monitor,Wallace,WL12,542209.00000000000,4348896.00000000000,208
Monitor,Wallace,WL13,543406.00000000000,4347960.00000000000,234
Toiyabe,Washington,WS01.1,476444.00000000000,4334452.00000000000,219
Toiyabe,Washington,WS01.2,477267.00000000000,4334221.00000000000,223
Toiyabe,Washington,WS01.3,477752.00000000000,4334148.00000000000,240
Toiyabe,Washington,WS02.1,478393.00000000000,4333845.00000000000,237
Toiyabe,Washington,WS02.2,478611.00000000000,4333781.00000000000,242
Toiyabe,Washington,WS02.3,478989.00000000000,4333756.00000000000,232
Toiyabe,Washington,WS03.1,479632.00000000000,4333962.00000000000,206
Toiyabe,Washington,WS03.2,479948.00000000000,4334019.00000000000,228
Toiyabe,Washington,WS03.3,480513.00000000000,4334115.00000000000,225
Toiyabe,Washington,WS04.1,481133.00000000000,4333911.00000000000,208
Toiyabe,Washington,WS04.2,481610.00000000000,4333749.00000000000,231
Toiyabe,Washington,WS04.3,481887.00000000000,4333717.00000000000,238
Toiyabe,Washington,WS05.1,482186.00000000000,4333581.00000000000,223
Toiyabe,Washington,WS05.2,482533.00000000000,4333633.00000000000,222
Toiyabe,Washington,WS05.3,482662.00000000000,4333665.00000000000,219
