state,range,canyon or area,point,num_samples_BRTE,BRTEcount,mtype,year,elevation,burned,firstGS,num_samples_grass&forb,igrass,grasscvr,iforb,forbcvr,wtprecip,spprecip,UTMx (NAD83 zone 11),UTMy (NAD83 zone 11),grazed.1,prop_grazed
Nevada,Toiyabe,Summit,SU03.2,10,0,point,2015,2311,0,NA,,,,,,63,100,477277,4314119,,
Nevada,Toiyabe,Summit,SU04.1,10,0,point,2015,2350,0,NA,,,,,,63,100,476898,4314091,,
Nevada,Toiyabe,Summit,SU04.2,10,0,point,2015,2409,0,NA,,,,,,160,157,476402,4314164,,
Nevada,Toiyabe,Summit,SU05.1,10,2,point,2015,2468,0,NA,,,,,,159,157,476069,4314635,,
Nevada,Toiyabe,Summit,SU05.2,10,0,point,2015,2523,0,NA,,,,,,159,157,475934,4314998,,
Nevada,Toiyabe,Summit,SU06.1,10,0,point,2015,2575,0,NA,,,,,,159,157,475658,4315078,,
Nevada,Toiyabe,Summit,SU06.2,10,1,point,2015,2587,0,NA,,,,,,159,157,475781,4314913,,
Nevada,Toiyabe,Stewart,SW00.1,10,0,point,2015,2605,0,NA,,,,,,122,141,467063,4305943,,
Nevada,Toiyabe,Stewart,SW01.1,10,0,point,2015,2635,0,NA,,,,,,122,141,467308,4305727,,
Nevada,Toiyabe,Stewart,SW01.2,10,0,point,2015,2667,0,NA,,,,,,122,141,467478,4305383,,
Nevada,Toiyabe,Stewart,SW02.1,10,0,point,2015,2731,0,NA,,,,,,191,179,467712,4305124,,
Nevada,Toiyabe,Stewart,SW02.2,10,0,point,2015,2795,0,NA,,,,,,191,179,467930,4304901,,
Nevada,Toiyabe,Stewart,SW03.1,10,0,point,2015,2854,0,NA,,,,,,191,179,468386,4304751,,
Nevada,Toiyabe,Stewart,SW03.2,10,0,point,2015,2897,0,NA,,,,,,191,179,468645,4304499,,
Nevada,Toiyabe,Stewart,SW04.1,10,0,point,2015,2950,0,NA,,,,,,191,179,468921,4304312,,
Nevada,Toiyabe,Stewart,SW05.1,10,0,point,2015,3017,0,NA,,,,,,191,179,469128,4304223,,
Nevada,Toiyabe,Stewart,SW05.2,10,0,point,2015,3067,0,NA,,,,,,191,179,469271,4304135,,
Nevada,Toiyabe,Stewart,SW06.1,10,0,point,2015,3162,0,NA,,,,,,186,177,469408,4303832,,
Nevada,Toiyabe,Stewart,SW06.2,10,0,point,2015,3219,0,NA,,,,,,186,177,469437,4303521,,
Nevada,Shoshone,Underdown,UN01.1,31,0,point,2015,2027,0,NA,21,,0,,6,48,99,466955,4334270,,
Nevada,Shoshone,Underdown,UN01.2,31,0,point,2015,2062,0,NA,21,,11,,3,48,99,466507,4334325,,
Nevada,Shoshone,Underdown,UN02.1,31,2,point,2015,2114,0,NA,21,,8,,4,48,99,465834,4334717,,
Nevada,Shoshone,Underdown,UN02.2,31,13,point,2015,2147,1,2002,21,,11,,1,98,127,465345,4334870,,
Nevada,Shoshone,Underdown,UN03.1,31,24,point,2015,2207,1,2002,21,,11,,0,98,127,464392,4335151,,
Nevada,Shoshone,Underdown,UN03.2,31,17,point,2015,2246,1,2005,21,,18,,1,98,127,463859,4335420,,
Nevada,Shoshone,Underdown,UN04.1,31,12,point,2015,2296,0,NA,21,,14,,7,98,127,463046,4335553,,
Nevada,Shoshone,Underdown,UN04.2,31,1,point,2015,2365,0,NA,21,,15,,6,159,157,462172,4336062,,
Nevada,Shoshone,Underdown,UN05.1,31,0,point,2015,2424,0,NA,21,,19,,13,159,157,461858,4335606,,
Nevada,Shoshone,Underdown,UN05.2,13,0,point,2015,2506,0,NA,21,,21,,18,159,157,461771,4334944,,
Nevada,Shoshone,Underdown,UN06.1,31,0,point,2015,2569,0,NA,21,,18,,14,159,157,461400,4334852,,
Nevada,Shoshone,Underdown,UN06.2,31,0,point,2015,2591,0,NA,21,,15,,18,159,157,461304,4334523,,
Nevada,Shoshone,Underdown,UN07.1,31,1,point,2015,2634,0,NA,21,,14,,10,159,157,461094,4334514,,
Nevada,Shoshone,Underdown,UN07.2,31,0,point,2015,2657,0,NA,21,,13,,12,159,157,461002,4334601,,
Nevada,Shoshone,Underdown,UN0B1,31,10,point,2015,2083,1,2005,21,20,7,19,3,48,99,466208,4334493,,
Nevada,Shoshone,Underdown,UN0B2,31,12,point,2015,2129,1,2005,21,15,13,15,6,98,127,465679,4334701,,
Nevada,Shoshone,Underdown,UN0B3,31,28,point,2015,2135,1,2005,21,4,19,12,13,98,127,465579,4334726,,
Nevada,Shoshone,Underdown,UN0B4,31,23,point,2015,2137,1,2005,21,1,9,13,0,98,127,465472,4334801,,
Nevada,Shoshone,Underdown,UN0B5,31,23,point,2015,2231,1,2005,21,18,9,21,6,98,127,464142,4335228,,
Nevada,Shoshone,Underdown,UN0B6,31,27,point,2015,2245,1,2005,21,5,8,19,5,98,127,463923,4335318,,
Nevada,Shoshone,Underdown,UN0B7,31,21,point,2015,2259,1,2005,21,11,5,21,2,98,127,463704,4335430,,
Nevada,Toiyabe,Wall,WA01.1,10,0,point,2015,1938,0,NA,,,,,,33,76,480640,4281421,,
Nevada,Toiyabe,Wall,WA01.2,10,0,point,2015,1984,0,NA,,,,,,66,106,479744,4281663,,
Nevada,Toiyabe,Wall,WA02.1,10,1,point,2015,2037,0,NA,,,,,,66,106,478861,4281929,,
Nevada,Toiyabe,Wall,WA02.2,10,0,point,2015,2087,0,NA,,,,,,71,106,478012,4282228,,
